licenses,parsed_address,similarity score,permit,apn,many_to_many
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-07336l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01588l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-05674l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-04086l,4155811347,both
3585 ocean front walk 92109,3585 ocean front walk 92109,100,str-01455l,4236080201,both
3585 ocean front walk 92109,3585 ocean front walk 92109,100,str-01189l,4236080201,both
4020 sequoia st 92109,4020 sequoia st 92109,100,str-04950l,4244210701,both
4020 sequoia st 92109,4020 sequoia st 92109,100,str-00894l,4244210701,both
827 wilbur av 92109,827 wilbur ave 92109,97,str-00208l,4154030500,both
4961 brighton av 92107,4946 brighton ave 92107,93,str-01290l,4482110700,both
2182 oliver av 92109,2182 oliver ave 92109,98,str-00251l,4242711100,both
4546 west point loma blvd 92107,4546 w point loma blvd 92107,96,str-01581l,4498607801,both
2801 ocean front walk #c 92109,2801 ocean front walk 92109,100,str-01688l,4237210500,both
2801 ocean front walk #c 92109,2801 ocean front walk 92109,100,str-01687l,4237210500,both
2801 ocean front walk #c 92109,2801 ocean front walk 92109,100,str-01685l,4237210500,both
2660 mission blvd #7 92109,2660 mission blvd 92109,100,str-03946l,4237620600,both
2660 mission blvd #7 92109,2660 mission blvd 92109,100,str-03819l,4237620600,both
2660 mission blvd #7 92109,2660 mission blvd 92109,100,str-03043l,4237620600,both
2660 mission blvd #7 92109,2660 mission blvd 92109,100,str-02809l,4237620600,both
2660 mission blvd #7 92109,2660 mission blvd 92109,100,str-03312l,4237620600,both
2660 mission blvd #7 92109,2660 mission blvd 92109,100,str-04466l,4237620600,both
4909 brighton ave av 92107,4909 brighton ave 92107,100,str-00697l,4482021800,both
826 capistrano #828 92109,826 capistrano pl 92109,93,str-02154l,4237310900,both
